PT	500m	muon_fp8gemm_state_fp32	8	complete	389.584	126.092	140.237	120.337	42055.2	15.542	18.692	2.493	1.978
PT	500m	soap_bf16_state_fp32	16	complete	315.837	67.206	143.617	101.705	51874.9	44.919	51.489	12.127	1.978
PT	500m	soap_bf16_state_fp32	1	complete	797.153	231.362	460.559	101.939	20553.1	18.939	20.888	12.127	1.978
PT	500m	soap_bf16_state_fp32	2	complete	440.087	115.453	219.453	102.520	37229.1	20.836	22.653	12.127	1.978
PT	500m	soap_bf16_state_fp32	4	complete	353.429	80.536	167.447	102.176	46357.2	24.557	27.125	12.127	1.978
PT	500m	soap_bf16_state_fp32	8	complete	333.000	72.386	155.697	101.690	49201.2	32.022	34.666	12.127	1.978
PT	500m	soap_bf16_state_fp8	16	complete	450.629	67.749	144.051	235.372	36358.1	42.041	46.429	9.252	1.978
PT	500m	soap_bf16_state_fp8	1	complete	886.107	215.653	430.228	236.648	18489.9	16.896	19.623	9.252	1.978
PT	500m	soap_bf16_state_fp8	2	complete	558.720	110.585	212.556	232.481	29324.2	18.079	21.492	9.252	1.978
PT	500m	soap_bf16_state_fp8	4	complete	490.536	80.962	167.625	238.900	33400.2	21.763	23.698	9.252	1.978
PT	500m	soap_bf16_state_fp8	8	complete	465.422	72.569	155.778	233.692	35202.5	29.247	30.535	9.252	1.978
PT	500m	soap_fp8gemm_state_fp32	16	complete	287.556	66.948	115.054	102.455	56976.8	32.086	37.881	12.127	1.978
PT	500m	soap_fp8gemm_state_fp32	1	complete	2238.716	958.086	1153.071	101.838	7318.5	17.761	18.725	12.127	1.978
PT	500m	soap_fp8gemm_state_fp32	2	complete	1189.535	486.725	592.519	101.753	13773.6	18.593	20.986	12.127	1.978
PT	500m	soap_fp8gemm_state_fp32	4	complete	635.457	241.333	287.160	102.322	25783.0	20.796	22.557	12.127	1.978
PT	500m	soap_fp8gemm_state_fp32	8	complete	378.196	126.537	146.125	101.806	43321.6	25.190	27.710	12.127	1.978
PT	6p9b	adamw_bf16_state_fp32	1	oom									
PT	6p9b	adamw_fp8gemm_state_fp32	1	oom									
PT	model	variant	microbatch	status	median_ms	forward_ms	backward_ms	optimizer_ms	tokens_per_second	peak_gb	reserved_gb	state_gb	params_gb
